rssi,lna_gain,vga_gain,pulse_index
0.001322363,0,0,0
0.0015444054,0,0,1
0.0016922725,0,0,2
0.0013570748,0,0,3
0.0013675836,0,0,4
0.0020994793,0,0,5
0.001985849,0,0,6
0.0024608932,0,0,7
0.0022680375,0,0,8
0.0023817383,0,0,9
0.0025816793,0,0,10
0.002426738,0,0,11
0.0022678194,0,0,12
0.0025486408,0,0,13
0.0024450035,0,0,14
0.0023697787,0,0,15
0.0023680087,0,0,16
0.0023718465,0,0,17
0.0024768347,0,0,18
0.0025662477,0,0,19
0.0024101424,0,0,20
0.002566112,0,0,21
0.0023191436,0,0,22
0.0021425928,0,0,23
0.0022377423,0,0,24
0.00225588,0,0,25
0.005161471,10,0,0
0.0047443984,10,0,1
0.004458372,10,0,2
0.0044887518,10,0,3
0.003965393,10,0,4
0.0040383986,10,0,5
0.0038524657,10,0,6
0.005061739,10,0,7
0.0045239874,10,0,8
0.0047992626,10,0,9
0.0146116195,20,0,0
0.018588904,20,0,1
0.017341914,20,0,2
0.017151568,20,0,3
0.0164959,20,0,4
0.016756535,20,0,5
0.01705874,20,0,6
0.017898826,20,0,7
0.017066991,20,0,8
0.017200049,20,0,9
0.017482022,20,0,10
0.017038703,20,0,11
0.047699835,30,0,0
0.049090706,30,0,1
0.046750393,30,0,2
0.045248456,30,0,3
0.050322663,30,0,4
0.048605505,30,0,5
0.04821685,30,0,6
0.046399154,30,0,7
0.037828363,30,0,8
0.04009835,30,0,9
0.040829197,30,0,10
0.05086022,30,0,11
0.04779983,30,0,12
0.047596294,30,0,13
0.16749136,40,0,0
0.16424622,40,0,1
0.17453188,40,0,2
0.1905488,40,0,3
0.23874813,40,0,4
0.25121295,40,0,5
0.24643473,40,0,6
0.1378241,40,0,7
0.16343261,40,0,8
0.14084427,40,0,9
0.46318066,50,0,0
0.34845603,50,0,1
0.35525283,50,0,2
0.34383905,50,0,3
0.37053636,50,0,4
0.35954508,50,0,5
0.3483758,50,0,6
0.3606039,50,0,7
0.35517097,50,0,8
0.34690538,50,0,9
0.3438384,50,0,10
0.41561604,50,0,11
0.48912656,50,0,12
1.1372002,60,0,0
1.0770042,60,0,1
1.1339858,60,0,2
1.137731,60,0,3
1.1349933,60,0,4
1.1556294,60,0,5
1.1686273,60,0,6
1.1668682,60,0,7
1.1733202,60,0,8
1.1854447,60,0,9
1.1927569,60,0,10
1.1860101,60,0,11
1.1747724,60,0,12
1.1539501,60,0,13
1.1399888,60,0,14
1.1634088,60,0,15
1.1847725,60,0,16
1.1863194,60,0,17
1.1891867,60,0,18
1.1912946,60,0,19
1.188742,60,0,20
1.199407,60,0,21
1.204683,60,0,22
0.012864502,0,16,0
0.012662886,0,16,1
0.011495994,0,16,2
0.0118388375,0,16,3
0.012094545,0,16,4
0.011932944,0,16,5
0.012349953,0,16,6
0.012331675,0,16,7
0.013074426,0,16,8
0.012981651,0,16,9
0.040426765,10,16,0
0.028188184,10,16,1
0.016137384,10,16,2
0.016110076,10,16,3
0.01271463,10,16,4
0.014959023,10,16,5
0.017677022,10,16,6
0.018006396,10,16,7
0.026555164,10,16,8
0.027536044,10,16,9
0.0276028,10,16,10
0.027322002,10,16,11
0.02717734,10,16,12
0.027315691,10,16,13
0.026463045,10,16,14
0.025941744,10,16,15
0.025156137,10,16,16
0.025408756,10,16,17
0.026581058,10,16,18
0.08186605,10,16,19
0.08345041,10,16,20
0.087125815,10,16,21
0.08612817,10,16,22
0.08648113,10,16,23
0.085594594,10,16,24
0.09842674,20,16,0
0.0945604,20,16,1
0.09029589,20,16,2
0.089423545,20,16,3
0.088837996,20,16,4
0.08924101,20,16,5
0.089473,20,16,6
0.09068862,20,16,7
0.094864644,20,16,8
0.0950733,20,16,9
0.09370368,20,16,10
0.09319636,20,16,11
0.09138933,20,16,12
0.09047821,20,16,13
0.0932567,20,16,14
0.089376494,20,16,15
0.085737094,20,16,16
0.08970145,20,16,17
0.09058864,20,16,18
0.08991963,20,16,19
0.092105605,20,16,20
0.09202684,20,16,21
0.09256612,20,16,22
0.25769246,30,16,0
0.2324462,30,16,1
0.23285255,30,16,2
0.20746136,30,16,3
0.2811403,30,16,4
0.25393912,30,16,5
0.25844476,30,16,6
0.25477582,30,16,7
0.25110078,30,16,8
0.873563,40,16,0
0.91089755,40,16,1
0.8654432,40,16,2
0.8896056,40,16,3
1.0093205,40,16,4
0.9296648,40,16,5
0.9943672,40,16,6
0.98440725,40,16,7
0.85918117,40,16,8
0.8050908,40,16,9
0.7994413,40,16,10
0.81757486,40,16,11
0.7919712,40,16,12
0.79277545,40,16,13
0.8636748,40,16,14
0.81251204,40,16,15
0.87192154,40,16,16
0.8084226,40,16,17
0.8299491,40,16,18
0.7889987,40,16,19
0.8061614,40,16,20
0.8318687,40,16,21
0.7941185,40,16,22
0.73704827,40,16,23
0.7860602,40,16,24
0.89362633,40,16,25
0.9501252,40,16,26
0.90624595,40,16,27
0.87121236,40,16,28
0.9404714,40,16,29
0.9917268,40,16,30
0.9804779,40,16,31
0.92760783,40,16,32
0.8687407,40,16,33
0.6629534,40,16,34
0.72946006,40,16,35
0.86758524,40,16,36
0.65334344,40,16,37
0.8482119,40,16,38
0.81658053,40,16,39
1.0753525,40,16,40
1.0612167,40,16,41
0.9719549,40,16,42
1.0160213,40,16,43
1.0526586,40,16,44
1.0882231,40,16,45
1.0453279,40,16,46
0.89927113,40,16,47
1.0503371,40,16,48
0.9162077,40,16,49
0.7947418,40,16,50
1.11833,40,16,51
1.1277081,40,16,52
1.2502654,50,16,0
1.2472069,50,16,1
1.2048229,50,16,2
1.1800389,50,16,3
1.1892126,50,16,4
1.2339753,50,16,5
1.2460341,50,16,6
1.2484878,50,16,7
1.2489517,50,16,8
1.2494555,50,16,9
1.2485025,50,16,10
1.2399387,50,16,11
1.2251823,50,16,12
1.1877391,50,16,13
1.2115304,50,16,14
1.2309053,50,16,15
1.251476,50,16,16
1.250843,60,16,0
1.2454438,60,16,1
1.2244384,60,16,2
1.2100503,60,16,3
1.2138853,60,16,4
1.2390038,60,16,5
1.2517507,60,16,6
1.2484145,60,16,7
1.2489798,60,16,8
1.2514937,60,16,9
1.251001,60,16,10
1.2434074,60,16,11
1.2198353,60,16,12
1.2398987,60,16,13
1.2462404,60,16,14
1.2491617,60,16,15
1.2511897,60,16,16
1.2523435,60,16,17
1.2531745,60,16,18
1.2534621,60,16,19
1.2458171,60,16,20
0.031726193,0,24,0
0.026829107,0,24,1
0.02440498,0,24,2
0.025018072,0,24,3
0.025170166,0,24,4
0.024654508,0,24,5
0.025249131,0,24,6
0.025845492,0,24,7
0.026138127,0,24,8
0.029497532,0,24,9
0.08994012,0,32,0
0.07829749,0,32,1
0.077494726,0,32,2
0.07783005,0,32,3
0.078519344,0,32,4
0.0729627,0,32,5
0.081294365,0,32,6
0.0821921,0,32,7
0.08417485,0,32,8
0.08033487,0,32,9
0.078051426,0,32,10
0.07874876,0,32,11
0.080249004,0,32,12
0.20874184,10,32,0
0.12676376,10,32,1
0.11037872,10,32,2
0.11744778,10,32,3
0.11695102,10,32,4
0.2552624,10,32,5
0.27170834,10,32,6
0.23955639,10,32,7
0.26033396,10,32,8
0.29205462,10,32,9
0.2854755,10,32,10
0.2786546,10,32,11
0.2858732,10,32,12
0.28713173,10,32,13
0.26517308,10,32,14
0.25763443,10,32,15
0.26163825,10,32,16
0.25752777,10,32,17
0.25654855,10,32,18
0.26226637,10,32,19
0.2663677,10,32,20
0.27199924,10,32,21
0.28409913,10,32,22
0.2815097,10,32,23
0.7628118,20,32,0
0.5303921,20,32,1
0.39110315,20,32,2
0.38789892,20,32,3
0.39417526,20,32,4
0.40461218,20,32,5
0.4606256,20,32,6
0.4516462,20,32,7
0.4361127,20,32,8
0.43614846,20,32,9
0.46661806,20,32,10
0.4694623,20,32,11
0.7201673,20,32,12
0.73701566,20,32,13
0.72638834,20,32,14
0.71947664,20,32,15
0.69544464,20,32,16
0.6943171,20,32,17
0.6885389,20,32,18
0.65796363,20,32,19
0.67811483,20,32,20
0.7195656,20,32,21
0.705175,20,32,22
1.2012827,30,32,0
1.1977168,30,32,1
1.088128,30,32,2
1.1703881,30,32,3
1.1697394,30,32,4
1.1613165,30,32,5
1.1515756,30,32,6
1.1140195,30,32,7
1.11963,30,32,8
1.1560364,30,32,9
1.1740924,30,32,10
1.1766653,30,32,11
1.1793715,30,32,12
1.1825945,30,32,13
1.1853527,30,32,14
1.1775552,30,32,15
1.1680485,30,32,16
1.1442505,30,32,17
1.1447699,30,32,18
1.1735562,30,32,19
1.2284002,30,32,20
1.2304441,30,32,21
1.2276623,30,32,22
1.2268316,30,32,23
1.2253242,30,32,24
1.1916369,40,32,0
1.2474494,40,32,1
1.2480888,40,32,2
1.2545971,40,32,3
1.2568536,40,32,4
1.259664,40,32,5
1.2616905,40,32,6
1.2570972,40,32,7
1.2441019,40,32,8
1.2288202,40,32,9
1.2276428,40,32,10
1.2413175,40,32,11
1.2553697,40,32,12
1.260667,40,32,13
1.2592888,40,32,14
1.2592479,40,32,15
1.2582737,40,32,16
1.2508922,40,32,17
1.2319647,40,32,18
0.18590781,0,40,0
0.15431856,0,40,1
0.18982431,0,40,2
0.16032402,0,40,3
0.14918481,0,40,4
0.1469086,0,40,5
0.16047171,0,40,6
0.15385377,0,40,7
0.1621456,0,40,8
0.20031579,0,40,9
0.19675305,0,40,10
0.19642243,0,40,11
0.18462516,0,40,12
0.004523415,0,8,0
0.004079465,0,8,1
0.0043699834,0,8,2
0.004108525,0,8,3
0.0040218555,0,8,4
0.0043737725,0,8,5
0.004157587,0,8,6
0.004342014,0,8,7
0.0043348633,0,8,8
0.0039887736,0,8,9
